Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
56,0,121.780533,-78.173477,932.481201,170.474716,25.67853,804.442444,152.96846,24.000481,879.884094,156.728851,87.196716,839.950378,150.444199,168.834763,790.75116,,,,143.076233,394.194855,758.193848,102.372063,390.605042,801.609863,115.441017,292.462158,822.850342,133.131149,479.151031,814.329407
57,0,121.795883,-78.153641,932.453491,170.591766,25.380619,804.001038,153.075729,23.926514,879.469788,156.921555,86.99334,839.303345,150.718323,168.477173,789.788025,,,,143.100815,393.806366,756.857361,102.465302,390.241943,800.338867,115.685265,292.162476,821.709961,133.17598,478.814362,812.893188
58,0,121.811722,-78.134613,932.42627,170.711899,25.073027,803.553955,153.185638,23.847481,879.049011,157.118195,86.780914,838.645691,150.99852,168.105865,788.809448,,,,143.123917,393.403564,755.505371,102.558189,389.8638,799.053467,115.93322,291.848602,820.554077,133.219498,478.462708,811.442322
59,0,121.828072,-78.116402,932.399353,170.835159,24.755596,803.101257,153.298203,23.76326,878.621643,157.318863,86.559235,837.977478,151.284805,167.72052,787.815613,,,,143.145493,392.986206,754.138428,102.650681,389.470123,797.75415,116.184875,291.520081,819.382812,133.261642,478.095795,809.977112
60,0,121.84491,-78.099052,932.372864,170.961517,24.428158,802.643066,153.413452,23.673717,878.187805,157.523514,86.32811,837.298767,151.577194,167.320862,786.806519,,,,143.165497,392.553986,752.756714,102.742729,389.060699,796.441406,116.440193,291.176697,818.196472,133.302368,477.713287,808.498108
61,0,121.862259,-78.082558,932.346802,171.090988,24.090551,802.179382,153.531464,23.578726,877.747498,157.732178,86.087349,836.609558,151.875702,166.90657,785.782166,,,,143.183929,392.106598,751.360657,102.834305,388.635223,795.115356,116.699165,290.818054,816.995117,133.341675,477.314789,807.005615
62,0,121.880135,-78.066948,932.321228,171.223648,23.742617,801.710571,153.652176,23.478159,877.300781,157.944855,85.836731,835.909973,152.180344,166.477325,784.742676,,,,143.200775,391.643768,749.950623,102.925346,388.193207,793.776489,116.961761,290.443787,815.779297,133.379486,476.900055,805.500366
63,0,121.898537,-78.052238,932.296265,171.359482,23.384195,801.236511,153.775696,23.371895,876.847778,158.161575,85.576073,835.200073,152.491119,166.032822,783.687988,,,,143.215973,391.165192,748.527222,103.0158,387.734467,792.425415,117.227959,290.053528,814.54895,133.415848,476.468628,803.982849
64,0,121.917488,-78.038452,932.27179,171.498459,23.015123,800.757263,153.901962,23.259804,876.38855,158.382324,85.305168,834.479797,152.80806,165.5728,782.618408,,,,143.229523,390.670654,747.090881,103.105644,387.258606,791.062317,117.497734,289.646881,813.304688,133.450699,476.020233,802.453369
65,0,121.936966,-78.025627,932.247925,171.640686,22.635248,800.273193,154.031067,23.141756,875.923035,158.607162,85.023842,833.749451,153.131134,165.096893,781.533813,,,,143.241425,390.15976,745.641846,103.194817,386.76532,789.687683,117.771057,289.223633,812.046448,133.484024,475.554596,800.912659
66,0,121.957016,-78.013748,932.224548,171.786087,22.244408,799.784241,154.163025,23.017633,875.451355,158.836029,84.73188,833.009033,153.460358,164.604874,780.434509,,,,143.251617,389.632294,744.180664,103.283302,386.254272,788.302185,118.04792,288.783325,810.774841,133.515808,475.071259,799.361267
67,0,121.977638,-78.002846,932.201904,171.934708,21.842447,799.290466,154.297821,22.887308,874.973511,159.068939,84.429085,832.258606,153.795715,164.096405,779.320435,,,,143.260101,389.087982,742.708008,103.371048,385.725098,786.906067,118.328278,288.325623,809.490051,133.546021,474.569946,797.799744
68,0,121.998817,-77.99295,932.179993,172.086578,21.42922,798.792297,154.435501,22.750654,874.489807,159.305939,84.11528,831.49823,154.137238,163.571182,778.191711,,,,143.266907,388.526459,741.224304,103.458008,385.177551,785.499878,118.612114,287.850159,808.192383,133.574692,474.050354,796.228638
69,0,122.020576,-77.984077,932.15863,172.241684,21.004564,798.289551,154.576065,22.607548,873.999939,159.547012,83.790268,830.728088,154.484894,163.028915,777.048584,,,,143.271973,387.947601,739.729919,103.544167,384.611176,784.084229,118.899391,287.356659,806.882202,133.601791,473.512085,794.648682
70,0,122.042931,-77.976242,932.138123,172.40004,20.568336,797.78241,154.719543,22.457869,873.504395,159.79216,83.453842,829.948364,154.838715,162.469315,775.891113,,,,143.275284,387.350983,738.225708,103.629486,384.025787,782.659546,119.190071,286.844635,805.559875,133.627304,472.954834,793.060425
71,0,122.065872,-77.969444,932.118347,172.561676,20.120388,797.27124,154.865967,22.301487,873.00293,160.041351,83.105812,829.158997,155.198639,161.89209,774.719604,,,,143.276901,386.736389,736.711914,103.713928,383.420959,781.226318,119.484146,286.313904,804.225769,133.651276,472.378296,791.464478
72,0,122.089409,-77.96373,932.099365,172.726562,19.66057,796.756104,155.015305,22.138288,872.495911,160.294601,82.745995,828.360352,155.564682,161.296951,773.534058,,,,143.276764,386.103607,735.189392,103.797478,382.796509,779.785339,119.78157,285.763947,802.88031,133.67366,471.782104,789.861572
73,0,122.113556,-77.959114,932.081238,172.894684,19.188738,796.237,155.167603,21.968147,871.983215,160.551926,82.374191,827.552368,155.936829,160.683609,772.334717,,,,143.274887,385.452332,733.658569,103.880104,382.151947,778.336914,120.082306,285.194611,801.523865,133.694504,471.166046,788.252319
74,0,122.138298,-77.955605,932.063965,173.066116,18.704748,795.714233,155.322891,21.790941,871.465088,160.813293,81.990219,826.735291,156.315033,160.051773,771.121765,,,,143.271301,384.782257,732.120117,103.961784,381.487091,776.881897,120.386322,284.605377,800.15686,133.713776,470.529694,786.637451
75,0,122.163651,-77.953217,932.047546,173.240799,18.20846,795.188049,155.48114,21.606556,870.941589,161.078659,81.593903,825.909302,156.699295,159.401199,769.895386,,,,143.265961,384.09317,730.574585,104.042511,380.801605,775.420532,120.693604,283.996002,798.779663,133.731567,469.872833,785.017578
76,0,122.189621,-77.951981,932.032104,173.418747,17.699734,794.658569,155.64238,21.414873,870.412842,161.348068,81.185036,825.074524,157.089615,158.731552,768.655762,,,,143.258911,383.384827,729.022766,104.122246,380.095184,773.953796,121.004097,283.36618,797.3927,133.747864,469.195068,783.393433
77,0,122.216209,-77.951904,932.017639,173.599945,17.178432,794.125916,155.80658,21.215778,869.878906,161.621475,80.763435,824.231018,157.485931,158.042587,767.403259,,,,143.250168,382.656952,727.46521,104.200989,379.367493,772.482056,121.317772,282.715485,795.996521,133.76268,468.496124,781.765808
78,0,122.243408,-77.953033,932.00415,173.784409,16.64443,793.590332,155.973785,21.009155,869.340027,161.898865,80.328949,823.379089,157.888229,157.334045,766.137939,,,,143.239716,381.909332,725.902588,104.278725,378.618317,771.006042,121.634605,282.043671,794.591614,133.776093,467.775757,780.135437
79,0,122.271217,-77.955353,931.991699,173.972122,16.097589,793.051941,156.144012,20.794895,868.796204,162.180237,79.881371,822.518921,158.296478,156.605652,764.860168,,,,143.22757,381.141724,724.335632,104.355438,377.847321,769.526428,121.954559,281.350342,793.178345,133.788116,467.03363,778.502991
80,0,122.299652,-77.958893,931.980225,174.16304,15.537789,792.511169,156.317184,20.572889,868.247742,162.46553,79.42054,821.650757,158.710648,155.857132,763.57019,,,,143.213776,380.353882,722.764893,104.431152,377.054199,768.043823,122.277596,280.635254,791.75708,133.798798,466.26947,776.869385
81,0,122.328697,-77.963669,931.969971,174.357208,14.964907,791.967957,156.493362,20.343031,867.694641,162.754761,78.946274,820.774597,159.130676,155.088242,762.268127,,,,143.198334,379.545532,721.191162,104.505844,376.238708,766.558838,122.603683,279.898071,790.328613,133.808167,465.482971,775.235046
82,0,122.35836,-77.969711,931.960876,174.554535,14.378824,791.422668,156.672546,20.105217,867.137146,163.047882,78.45842,819.890869,159.556549,154.298752,760.954407,,,,143.18129,378.716553,719.615234,104.579514,375.400604,765.072205,122.9328,279.138519,788.893311,133.816315,464.673981,773.601196
83,0,122.388626,-77.977036,931.952942,174.755051,13.779428,790.875488,156.854706,19.859343,866.575317,163.344879,77.95681,818.999573,159.98822,153.488403,759.629333,,,,143.162659,377.866669,718.037659,104.652191,374.539551,763.584656,123.264908,278.356232,787.451599,133.823288,463.842133,771.968262
