Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
84,0,122.41951,-77.985672,931.946167,174.958725,13.166615,790.326599,157.039841,19.605307,866.009277,163.645737,77.441292,818.101135,160.425644,152.656952,758.293091,,,,143.142471,376.995667,716.45929,104.723854,373.655365,762.096863,123.599976,277.550903,786.00415,133.829132,462.987213,770.337097
85,0,122.450989,-77.995636,931.940735,175.165482,12.540279,789.776245,157.227951,19.343018,865.439331,163.950378,76.911697,817.195679,160.868744,151.804214,756.946045,,,,143.120773,376.103333,714.880676,104.794548,372.747772,760.609497,123.937965,276.722382,784.551392,133.833923,462.108978,768.708618
86,0,122.483078,-78.006935,931.936523,175.375305,11.900325,789.22467,157.418991,19.07238,864.865601,164.25882,76.367882,816.283325,161.317505,150.929916,755.588501,,,,143.097626,375.189514,713.302795,104.864258,371.816589,759.123352,124.278847,275.87027,783.093933,133.837738,461.207184,767.083557
87,0,122.515755,-78.019623,931.933655,175.588211,11.24666,788.67218,157.613007,18.793301,864.288208,164.57103,75.809708,815.364624,161.771851,150.033859,754.220886,,,,143.073044,374.253998,711.726318,104.933014,370.861511,757.638977,124.622581,274.994354,781.632324,133.840668,460.281616,765.46283
88,0,122.549019,-78.033691,931.932068,175.804062,10.579201,788.119019,157.809952,18.50569,863.707275,164.886948,75.237045,814.439514,162.231705,149.11586,752.843567,,,,143.047104,373.2966,710.151917,105.000854,369.882355,756.157288,124.969131,274.09433,780.167114,133.842743,459.332092,763.846985
89,0,122.582863,-78.049194,931.932007,176.022888,9.897866,787.565247,158.009827,18.209463,863.123169,165.206573,74.649727,813.508423,162.697006,148.175751,751.456726,,,,143.019852,372.317169,708.580383,105.067787,368.878906,754.678772,125.318466,273.170013,778.698792,133.84407,458.358368,762.237122
90,0,122.617271,-78.066139,931.933411,176.244568,9.202585,787.011292,158.212601,17.904539,862.53595,165.5298,74.047661,812.571655,163.167694,147.213287,750.060974,,,,142.991379,371.315521,707.012573,105.13385,367.850922,753.204407,125.67054,272.221191,777.228149,133.844757,457.360352,760.634033
91,0,122.652252,-78.084557,931.936279,176.469101,8.493289,786.457214,158.418289,17.590836,861.94574,165.856628,73.430725,811.629272,163.643723,146.228348,748.656433,,,,142.961761,370.291504,705.449219,105.199081,366.79834,751.734802,126.025307,271.247498,775.755615,133.844894,456.337738,759.03833
92,0,122.687798,-78.104477,931.940613,176.696426,7.769918,785.903503,158.626831,17.268282,861.352844,166.187012,72.798798,810.681885,164.124985,145.220734,747.243835,,,,142.931,369.244995,703.891174,105.263535,365.720825,750.270752,126.382721,270.248871,774.281921,133.844604,455.290466,757.450989
93,0,122.723877,-78.1259,931.946594,176.926437,7.032419,785.350403,158.838196,16.936802,860.757446,166.520905,72.151764,809.729431,164.611404,144.190308,745.823181,,,,142.899261,368.175842,702.339111,105.327225,364.618347,748.812927,126.742783,269.225037,772.807495,133.843948,454.218323,755.872925
94,0,122.760483,-78.148895,931.954102,177.159088,6.280749,784.798035,159.052414,16.596333,860.15979,166.858246,71.489548,808.772583,165.10289,143.136948,744.395325,,,,142.866577,367.083893,700.793823,105.390228,363.490723,747.362061,127.105385,268.175781,771.333069,133.843063,453.121185,754.304688
95,0,122.797615,-78.173447,931.963318,177.394287,5.51487,784.246704,159.269455,16.246807,859.559998,167.198959,70.812065,807.81134,165.59938,142.060516,742.960327,,,,142.833054,365.969086,699.256104,105.452583,362.33783,745.919128,127.470535,267.100983,769.859253,133.842117,451.998962,752.747375
96,0,122.835251,-78.199593,931.974182,177.631943,4.734756,783.696716,159.489243,15.888169,858.958435,167.542999,70.119202,806.84613,166.100754,140.960907,741.518921,,,,142.798813,364.83136,697.72699,105.514351,361.159485,744.484619,127.838165,266.000519,768.386658,133.841187,450.851501,751.20166
97,0,122.873383,-78.227379,931.986755,177.872009,3.940385,783.148315,159.711777,15.520367,858.355103,167.890305,69.410919,805.877319,166.606964,139.838013,740.071289,,,,142.763901,363.670502,696.206848,105.5756,359.955597,743.059387,128.208252,264.874146,766.915894,133.840424,449.67868,749.668335
98,0,122.911995,-78.256798,932.001038,178.114365,3.131749,782.601746,159.937057,15.143349,857.750427,168.24086,68.687149,804.905273,167.117844,138.691757,738.618225,,,,142.728439,362.486542,694.696838,105.636398,358.726105,741.644287,128.580719,263.721771,765.447693,133.840012,448.48056,748.148315
99,0,122.951073,-78.287895,932.017212,178.358948,2.308845,782.057434,160.164978,14.757071,857.144531,168.594543,67.947815,803.930298,167.633377,137.522064,737.160034,,,,142.692551,361.279297,693.197693,105.696808,357.470947,740.239929,128.955566,262.543304,763.982605,133.840057,447.256927,746.642334
100,0,122.990608,-78.320679,932.035156,178.605621,1.471682,781.515503,160.395569,14.361497,856.537659,168.951309,67.192886,802.952576,168.153397,136.328888,735.697144,,,,142.656342,360.048889,691.710022,105.75692,356.190063,738.847107,129.332733,261.338593,762.521301,133.840729,446.007812,745.151306
101,0,123.030563,-78.355202,932.054932,178.854309,0.620278,780.976379,160.628769,13.956592,855.930054,169.311111,66.422325,801.972717,168.677811,135.112228,734.230286,,,,142.619949,358.795135,690.234802,105.816811,354.883301,737.466614,129.712173,260.107635,761.064453,133.842194,444.733154,743.675781
102,0,123.070953,-78.391457,932.07666,179.104904,-0.245342,780.440125,160.864532,13.54233,855.322021,169.673859,65.636116,800.990967,169.206497,133.872009,732.759766,,,,142.583496,357.518036,688.772766,105.876572,353.550781,736.099304,130.093857,258.850342,759.612732,133.84465,443.432953,742.216736
103,0,123.111732,-78.429466,932.100159,179.35733,-1.125137,779.907349,161.102798,13.118689,854.713745,170.03952,64.834213,800.007568,169.739395,132.608246,731.286316,,,,142.547073,356.217651,687.324768,105.936279,352.192474,734.745667,130.477753,257.56662,758.16687,133.848221,442.107208,740.77478
104,0,123.152893,-78.469284,932.125671,179.61145,-2.019062,779.378113,161.343582,12.685656,854.105469,170.407959,64.016647,799.023132,170.276321,131.320999,729.810364,,,,142.510864,354.893951,685.891479,105.996056,350.808258,733.406738,130.863785,256.256531,756.727356,133.853149,440.75592,739.35083
105,0,123.19442,-78.510895,932.153198,179.867142,-2.927057,778.852783,161.586807,12.243221,853.497498,170.77919,63.183418,798.037964,170.81723,130.010269,728.332458,,,,142.474945,353.546875,684.473816,106.056,349.398315,732.083008,131.251968,254.919952,755.294983,133.859589,439.379181,737.945679
106,0,123.236298,-78.554337,932.1828,180.124329,-3.849051,778.331604,161.832413,11.791387,852.890076,171.153076,62.33453,797.052368,171.361938,128.676102,726.853149,,,,142.439529,352.176636,683.07251,106.116196,347.962524,730.775391,131.642227,253.556961,753.8703,133.867752,437.97702,736.559875
107,0,123.278481,-78.59964,932.214355,180.382858,-4.784964,777.814941,162.080353,11.330154,852.283447,171.529572,61.470024,796.066833,171.910324,127.318588,725.373108,,,,142.404724,350.783142,681.688293,106.176788,346.501099,729.48468,132.034515,252.167618,752.454224,133.877838,436.5495,735.194336
108,0,123.320992,-78.646805,932.248047,180.64267,-5.7347,777.302979,162.330566,10.859542,851.677917,171.9086,60.589943,795.081604,172.462311,125.937805,723.892822,,,,142.370621,349.366486,680.322021,106.237869,345.014069,728.211426,132.428818,250.751907,751.047119,133.890045,435.09671,733.84967
109,0,123.36377,-78.695847,932.283875,180.903549,-6.698154,776.796082,162.583038,10.379566,851.073669,172.290085,59.69434,794.09729,173.017746,124.533875,722.412903,,,,142.337463,347.926758,678.974426,106.299568,343.501465,726.956421,132.825104,249.309921,749.649963,133.904602,433.618713,732.526672
110,0,123.406807,-78.746811,932.321777,181.165466,-7.675206,776.294678,162.837662,9.890258,850.471008,172.67395,58.783283,793.114258,173.576492,123.106934,720.93396,,,,142.305283,346.464081,677.646301,106.362022,341.963501,725.720459,133.223358,247.841766,748.263123,133.921722,432.115753,731.225891
111,0,123.450089,-78.79969,932.361816,181.428253,-8.665725,775.798828,163.094421,9.391649,849.8703,173.060135,57.85685,792.132812,174.138428,121.657104,719.456665,,,,142.274323,344.978546,676.338257,106.425339,340.400177,724.504211,133.623505,246.347504,746.887512,133.941635,430.587921,729.948242
112,0,123.493576,-78.854492,932.404175,181.691772,-9.669568,775.309082,163.353226,8.883787,849.271851,173.448502,56.915131,791.153442,174.703415,120.184563,717.981506,,,,142.244659,343.470245,675.051025,106.489662,338.811768,723.308533,134.025543,244.827271,745.52356,133.964569,429.035309,728.694275
113,0,123.537239,-78.911255,932.448669,181.955902,-10.686584,774.825439,163.614014,8.36672,848.67572,173.83905,55.958225,790.176453,175.271347,118.689499,716.509155,,,,142.216446,341.939362,673.785583,106.555138,337.198334,722.133789,134.429459,243.281219,744.17218,133.990784,427.45813,727.464539
114,0,123.581085,-78.969978,932.495544,182.220535,-11.716606,774.34845,163.876755,7.840505,848.082275,174.231613,54.986259,789.202454,175.842041,117.172104,715.040344,,,,142.189835,340.386017,672.542358,106.621895,335.56015,720.981079,134.835205,241.709503,742.833862,134.020432,425.856628,726.259888
115,0,123.625061,-79.030663,932.544617,182.485504,-12.759459,773.878296,164.141373,7.305206,847.491882,174.626205,53.999352,788.231689,176.415421,115.632614,713.5755,,,,142.164963,338.810364,671.322144,106.690071,333.897308,719.850708,135.242752,240.112305,741.509277,134.053848,424.230896,725.080811
116,0,123.669144,-79.093353,932.596008,182.750732,-13.814953,773.415222,164.407776,6.760896,846.904785,175.022644,52.997646,787.264709,176.991318,114.071281,712.115295,,,,142.141937,337.212585,670.125732,106.759804,332.210083,718.743652,135.6521,238.489838,740.199158,134.091202,422.581299,723.927917
117,0,123.71331,-79.158028,932.649841,183.016037,-14.882895,772.959595,164.675919,6.207651,846.321167,175.420944,51.981285,786.301819,177.569595,112.488335,710.660339,,,,142.120926,335.592957,668.953613,106.831245,330.498718,717.660461,136.063187,236.84227,738.903931,134.132736,420.907959,722.80188
118,0,123.757523,-79.224724,932.705994,183.281281,-15.963074,772.511658,164.945755,5.645556,845.741455,175.820969,50.950432,785.343506,178.150177,110.884094,709.211365,,,,142.102051,333.951599,667.806519,106.904526,328.763489,716.601807,136.476044,235.169922,737.624512,134.178711,419.211182,721.703186
119,0,123.801758,-79.293419,932.764587,183.546387,-17.055273,772.071716,165.217194,5.074701,845.16571,176.222641,49.905258,784.390259,178.732864,109.25882,707.768921,,,,142.085419,332.288757,666.685059,106.979805,327.004486,715.568237,136.89061,233.472977,736.361389,134.22934,417.491211,720.632446
120,0,123.846001,-79.364151,932.825623,183.811218,-18.159267,771.640015,165.490158,4.495184,844.594482,176.625885,48.845959,783.442444,179.317551,107.612854,706.333557,,,,142.071152,330.604645,665.589844,107.05719,325.222198,714.560547,137.306854,231.751724,735.115173,134.284836,415.748291,719.590271
121,0,123.89019,-79.436897,932.889099,184.075577,-19.274817,771.216736,165.764618,3.907109,844.027832,177.030655,47.772717,782.500305,179.904099,105.946526,704.906067,,,,142.059402,328.899567,664.521667,107.136841,323.416779,713.579224,137.724808,230.006454,733.886353,134.345413,413.982849,718.577026
122,0,123.934303,-79.511696,932.955078,184.339417,-20.401678,770.802307,166.040497,3.310585,843.466125,177.436829,46.685738,781.564575,180.492416,104.260178,703.486877,,,,142.050217,327.173706,663.481018,107.218872,321.588501,712.624939,138.144409,228.237473,732.67572,134.41127,412.195099,717.593384
123,0,123.978325,-79.588516,933.02356,184.60257,-21.5396,770.396912,166.317719,2.705727,842.909485,177.844345,45.585239,780.635498,181.082321,102.554169,702.07666,,,,142.043747,325.427399,662.468384,107.303429,319.737823,711.698303,138.565628,226.445145,731.483887,134.48262,410.385345,716.639709
124,0,124.022202,-79.667389,933.094543,184.864944,-22.688322,770.000732,166.596222,2.092659,842.358398,178.253113,44.471455,779.713379,181.673721,100.828911,700.676147,,,,142.040085,323.66095,661.484375,107.39061,317.86496,710.799744,138.988464,224.629745,730.311218,134.559647,408.553955,715.716553
125,0,124.065887,-79.748314,933.168091,185.126358,-23.847567,769.614075,166.875946,1.471506,841.813049,178.663086,43.344608,778.798889,182.266464,99.084778,699.285767,,,,142.039307,321.874634,660.529541,107.480553,315.970245,709.929871,139.412888,222.791656,729.158325,134.642532,406.701263,714.824402
126,0,124.109383,-79.831284,933.244263,185.386765,-25.017061,769.237244,167.156815,0.842402,841.27356,179.074173,42.204948,777.89209,182.860397,97.322205,697.906128,,,,142.041519,320.068726,659.604553,107.573364,314.054108,709.089355,139.838882,220.931229,728.02594,134.731415,404.827667,713.963562
127,0,124.152626,-79.916306,933.322998,185.64595,-26.196518,768.8703,167.438812,0.205485,840.740234,179.486282,41.052738,776.993713,183.455475,95.541618,696.537903,,,,142.046799,318.24353,658.709778,107.669151,312.116791,708.278503,140.266388,219.048889,726.914429,134.826416,402.933472,713.134705
128,0,124.195572,-80.00338,933.404358,185.90387,-27.385643,768.513428,167.721802,-0.439103,840.213501,179.899384,39.888226,776.103943,184.051498,93.743469,695.18158,,,,142.055191,316.399506,657.845703,107.767998,310.158813,707.497925,140.695404,217.145004,725.824219,134.927734,401.019196,712.338013
129,0,124.238213,-80.092522,933.488342,186.16037,-28.584139,768.166992,168.005814,-1.091214,839.693359,180.313354,38.711685,775.223145,184.648361,91.928223,693.83783,,,,142.066788,314.536926,657.012817,107.870018,308.18045,706.747986,141.125885,215.219986,724.756042,135.035492,399.085083,711.574036
130,0,124.280487,-80.183701,933.574951,186.415344,-29.7917,767.831177,168.290695,-1.750695,839.180115,180.728119,37.523403,774.351746,185.245941,90.096344,692.507019,,,,142.081635,312.656158,656.211609,107.975296,306.18219,706.029358,141.5578,213.274307,723.710327,135.149734,397.131622,710.842896
131,0,124.32238,-80.276939,933.664246,186.668671,-31.008017,767.506042,168.576431,-2.417391,838.674072,181.143646,36.323669,773.490112,185.844131,88.24836,691.189819,,,,142.099747,310.757568,655.442566,108.083885,304.164276,705.342285,141.991074,211.30835,722.6875,135.270599,395.15918,710.145264
132,0,124.363823,-80.372215,933.756226,186.920242,-32.232765,767.191895,168.862976,-3.091139,838.175415,181.559814,35.112778,772.638611,186.44281,86.38475,689.886719,,,,142.121201,308.841553,654.706055,108.195877,302.127289,704.687317,142.42572,209.322601,721.687988,135.398132,393.168304,709.481262
133,0,124.404793,-80.469543,933.85083,187.169937,-33.46563,766.888855,169.150238,-3.771777,837.684326,181.976608,33.891022,771.797668,187.041824,84.506065,688.598206,,,,142.145996,306.908508,654.002502,108.311333,300.071564,704.064697,142.861618,207.31752,720.712158,135.532455,391.159302,708.851196
134,0,124.445259,-80.568901,933.94812,187.417679,-34.70628,766.597046,169.438156,-4.459135,837.201111,182.393875,32.658733,770.967407,187.641068,82.612816,687.324951,,,,142.174133,304.958832,653.332153,108.43029,297.997559,703.475037,143.298782,205.29361,719.760742,135.673553,389.13266,708.255554
135,0,124.485176,-80.670296,934.048035,187.663361,-35.954376,766.31665,169.7267,-5.153041,836.72583,182.811615,31.416222,770.148376,188.240448,80.705566,686.067139,,,,142.205673,302.99295,652.695618,108.552795,295.905701,702.918518,143.737106,203.251312,718.833862,135.821487,387.088867,707.694336
136,0,124.524498,-80.77372,934.150757,187.90686,-37.209579,766.047791,170.015762,-5.853316,836.258789,183.229752,30.163815,769.34082,188.839844,78.784889,684.8255,,,,142.24057,301.0112,652.093079,108.678902,293.796448,702.39563,144.17659,201.191208,717.932007,135.976303,385.02829,707.16803
137,0,124.563202,-80.879135,934.256104,188.148102,-38.471535,765.790649,170.305359,-6.559779,835.80011,183.648163,28.901854,768.544983,189.439133,76.851364,683.600342,,,,142.278809,299.01416,651.52478,108.808609,291.670197,701.906494,144.617126,199.113754,717.055481,136.137939,382.951508,706.676758
138,0,124.601227,-80.986565,934.364197,188.386978,-39.739895,765.545288,170.595367,-7.272243,835.350037,184.066833,27.630676,767.761169,190.038193,74.905571,682.392212,,,,142.320374,297.002136,650.991272,108.94194,289.527435,701.451721,145.05864,197.019516,716.204895,136.306412,380.858856,706.220947
139,0,124.638573,-81.095978,934.474976,188.623428,-41.014301,765.312012,170.885757,-7.990515,834.908752,184.485641,26.350634,766.989685,190.636948,72.948112,681.201477,,,,142.365265,294.975677,650.492615,109.078918,287.368652,701.031311,145.501114,194.909012,715.38031,136.481689,378.750916,705.800537
140,0,124.675163,-81.207375,934.588501,188.857315,-42.294388,765.090576,171.176453,-8.714397,834.476318,184.904556,25.062088,766.230957,191.23526,70.979599,680.028564,,,,142.413391,292.93512,650.029175,109.219528,285.194244,700.645752,145.944443,192.782776,714.582153,136.663712,376.628143,705.415771
141,0,124.710983,-81.320709,934.704773,189.088623,-43.579781,764.881348,171.467392,-9.443691,834.052979,185.323502,23.765394,765.485046,191.833054,69.000664,678.87384,,,,142.464752,290.881012,649.601196,109.363754,283.0047,700.295105,146.38858,190.641388,713.810669,136.852402,374.490967,705.066956
142,0,124.745987,-81.435997,934.823669,189.317261,-44.870106,764.684387,171.758545,-10.178186,833.638855,185.742416,22.460934,764.752258,192.430176,67.011917,677.737671,,,,142.519272,288.813782,649.209045,109.511581,280.800507,699.979736,146.833405,188.485367,713.066406,137.047684,372.339905,704.754272
143,0,124.780144,-81.5532,934.945374,189.543121,-46.164982,764.499634,172.04985,-10.917673,833.234131,186.161224,21.149073,764.032959,193.026596,65.014023,676.620361,,,,142.576874,286.733856,648.852783,109.662987,278.582062,699.699829,147.27887,186.315323,712.349365,137.249435,370.175385,704.477783
144,0,124.813408,-81.672302,935.069763,189.766205,-47.46402,764.327271,172.341217,-11.661938,832.838806,186.579834,19.8302,763.327209,193.622192,63.007607,675.522461,,,,142.637512,284.641815,648.532593,109.817909,276.349915,699.455505,147.72493,184.131821,711.659851,137.457565,367.997955,704.237671
145,0,124.845757,-81.793304,935.196838,189.986359,-48.76685,764.167297,172.632568,-12.410761,832.453247,186.998199,18.504704,762.635315,194.216812,60.993351,674.444092,,,,142.70108,282.538025,648.248657,109.976295,274.104462,699.247009,148.171417,181.93541,710.998108,137.671921,365.808075,704.034119
146,0,124.877144,-81.916153,935.326599,190.203629,-50.073067,764.019775,172.923889,-13.163922,832.077332,187.41629,17.172972,761.957458,194.810455,58.971912,673.38562,,,,142.767487,280.423035,648.001343,110.138115,271.846252,699.074463,148.618301,179.726685,710.364502,137.892303,363.606171,703.867126
147,0,124.907555,-82.040855,935.459045,190.417892,-51.382278,763.884766,173.215103,-13.921197,831.711304,187.833984,15.835408,761.293884,195.402969,56.943958,672.347229,,,,142.83667,278.297302,647.790527,110.303284,269.575684,698.937866,149.065445,177.506271,709.759033,138.118591,361.392792,703.736816
148,0,124.936935,-82.167381,935.594116,190.62912,-52.694088,763.762207,173.506134,-14.682355,831.355225,188.251221,14.492413,760.644653,195.994293,54.910172,671.329468,,,,142.908524,276.161346,647.616638,110.471718,267.293274,698.837585,149.512817,175.274704,709.182068,138.350555,359.168427,703.643433
149,0,124.965271,-82.295708,935.731873,190.837311,-54.008102,763.652283,173.796921,-15.447167,831.009216,188.667984,13.144394,760.010193,196.58432,52.871235,670.332275,,,,142.982925,274.015564,647.479553,110.643318,264.999481,698.773376,149.960266,173.032593,708.633667,138.587982,356.933502,703.586853
