Trajectories
200
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
76,0,275.540680,-34.559181,935.377808,333.652100,67.322342,812.845581,313.559082,64.665764,888.777100,323.236511,128.109299,850.929871,324.146637,214.048950,806.066467,,,,299.735657,440.504700,798.828247,261.043365,432.605927,843.376099,280.600006,331.884521,850.372803,301.508850,517.846069,861.639160
77,0,275.585236,-34.566082,935.327881,333.789764,66.934807,812.268127,313.709167,64.558975,888.228760,323.481781,127.849144,850.093262,324.492767,213.614624,804.809143,,,,299.649567,440.050262,797.322510,261.024139,432.113983,841.947571,280.841888,331.473450,849.030273,301.425354,517.367493,860.117981
78,0,275.631378,-34.574242,935.276794,333.929901,66.535751,811.682373,313.861511,64.446144,887.671387,323.729919,127.578316,849.242798,324.843292,213.163391,803.532288,,,,299.566315,439.577789,795.795471,261.006683,431.604004,840.497009,281.087433,331.045715,847.666504,301.343842,516.870544,858.574646
79,0,275.679016,-34.583664,935.224487,334.072449,66.125000,811.088318,314.016083,64.327133,887.104980,323.980896,127.296608,848.378479,325.198059,212.694855,802.236206,,,,299.486053,439.086853,794.247437,260.991089,431.075653,839.024536,281.336639,330.601044,846.281677,301.264313,516.355042,857.009155
80,0,275.728271,-34.594391,935.171021,334.217407,65.702377,810.485962,314.172821,64.201797,886.529358,324.234650,127.003777,847.500366,325.557037,212.208694,800.920715,,,,299.408813,438.577118,792.678711,260.977448,430.528625,837.530396,281.589417,330.139008,844.875854,301.187012,515.820618,855.421875
81,0,275.779114,-34.606422,935.116272,334.364685,65.267754,809.875427,314.331757,64.069977,885.944763,324.491180,126.699608,846.608704,325.920044,211.704559,799.586243,,,,299.334839,438.048279,791.089355,260.965790,429.962494,836.014771,281.845825,329.659332,843.449341,301.112030,515.266846,853.813171
82,0,275.831573,-34.619785,935.060364,334.514252,64.820961,809.256897,314.492859,63.931545,885.351318,324.750305,126.383888,845.703430,326.287109,211.182098,798.232849,,,,299.264221,437.499939,789.479797,260.956268,429.376984,834.477905,282.105804,329.161682,842.002319,301.039490,514.693298,852.182983
83,0,275.885681,-34.634506,935.003296,334.666168,64.361832,808.630493,314.656036,63.786350,884.748840,325.012024,126.056358,844.784607,326.658081,210.641006,796.860718,,,,299.197144,436.931763,787.850281,260.948853,428.771790,832.920044,282.369415,328.645630,840.534912,300.969543,514.099792,850.531799
84,0,275.941406,-34.650589,934.944946,334.820282,63.890224,807.996277,314.821381,63.634239,884.137512,325.276306,125.716850,843.852539,327.032837,210.080902,795.469971,,,,299.133606,436.343445,786.201111,260.943726,428.146515,831.341309,282.636505,328.110840,839.047485,300.902344,513.485779,848.859924
85,0,275.998749,-34.668060,934.885376,334.976593,63.405983,807.354370,314.988831,63.475071,883.517456,325.543091,125.365105,842.907104,327.411255,209.501495,794.061035,,,,299.073822,435.734558,784.532715,260.940948,427.500824,829.742310,282.907135,327.557007,837.540100,300.837982,512.851074,847.167603
86,0,276.057739,-34.686947,934.824524,335.135010,62.908947,806.705078,315.158325,63.308685,882.888672,325.812317,125.000893,841.948608,327.793365,208.902390,792.633911,,,,299.017853,435.104889,782.845459,260.940491,426.834412,828.123047,283.181213,326.983734,836.013000,300.776672,512.195190,845.455200
